,index,DayPrecip,DayAirTmpMin,DayAirTmpMax,DayEto,DayAirTmpAvg,DaySolRadAvg,DayWindSpdAvg,Eto_values,Kc_values,Etc_values,Etc_cum,Soil_Water_Deficit,Soil_Water_Deficit_cum
125,2018-05-07,0.0,42.6,79.4,0.19,59.9,588.0,2.1,0.17,0.33365781262233596,0.05672182814579712,5.1002318277657235,-0.05672182814579712,7.219768172234279
126,2018-05-08,0.0,44.2,76.4,0.17,59.1,583.0,1.4,0.16,0.32678608574401447,0.05228577371904231,5.152517601484766,-0.05228577371904231,7.1674823985152365
127,2018-05-09,0.0,47.9,73.5,0.17,60.5,581.0,2.0,0.16,0.3199143588656929,0.05118629741851087,5.203703898903276,-0.05118629741851087,7.116296101096726
128,2018-05-10,0.0,42.2,76.2,0.16,58.8,528.0,1.5,0.15,0.3232460681739736,0.04848691022609604,5.252190809129372,-0.04848691022609604,7.06780919087063
129,2018-05-11,0.0,44.0,84.6,0.21,65.0,596.0,2.5,0.19,0.32657777748225425,0.062049777721628306,5.3142405868510005,-0.062049777721628306,7.0057594131490015
130,2018-05-12,0.0,52.1,81.4,0.2,64.0,587.0,3.7,0.18,0.32990948679053494,0.059383707622296285,5.373624294473297,-0.059383707622296285,6.946375705526705
131,2018-05-13,0.0,53.2,69.2,0.12,58.2,401.0,3.7,0.11,0.33324119609881564,0.03665653157086972,5.410280826044167,-0.03665653157086972,6.9097191739558355
132,2018-05-14,0.0,52.0,65.7,0.12,56.4,425.0,3.0,0.11,0.33657290540709633,0.0370230195947806,5.447303845638947,-0.0370230195947806,6.872696154361055
133,2018-05-15,0.0,51.7,68.5,0.13,58.0,459.0,2.7,0.13,0.33990461471537703,0.04418759991299902,5.491491445551946,-0.04418759991299902,6.828508554448056
134,2018-05-16,0.0,45.3,69.5,0.13,57.3,441.0,4.2,0.13,0.34323632402365767,0.044620722123075496,5.536112167675022,-0.044620722123075496,6.7838878323249805
135,2018-05-17,0.0,43.1,72.7,0.18,57.2,583.0,3.1,0.16,0.34656803333193836,0.05545088533311014,5.591563053008132,-0.05545088533311014,6.72843694699187
136,2018-05-18,0.0,43.7,70.0,0.15,55.6,527.0,2.7,0.14,0.36585154773444317,0.05121921668282205,5.642782269690954,-0.05121921668282205,6.677217730309048
137,2018-05-19,0.0,43.7,70.6,0.17,56.5,597.0,2.5,0.16,0.3851350621369479,0.06162160994191167,5.704403879632866,-0.06162160994191167,6.615596120367136
138,2018-05-20,0.0,43.2,70.2,0.15,56.3,518.0,2.3,0.14,0.40441857653945273,0.05661860071552339,5.76102248034839,-0.05661860071552339,6.558977519651612
139,2018-05-21,0.0,42.1,71.7,0.18,57.0,594.0,3.3,0.16,0.42370209094195754,0.0677923345507132,5.828814814899103,-0.0677923345507132,6.491185185100899
140,2018-05-22,0.0,48.7,68.2,0.12,57.1,425.0,4.4,0.1,0.4429856053444623,0.04429856053444623,5.873113375433549,-0.04429856053444623,6.446886624566453
141,2018-05-23,0.0,53.9,62.0,0.04,56.9,188.0,4.2,0.05,0.4622691197469671,0.023113455987348357,5.896226831420898,-0.023113455987348357,6.423773168579104
142,2018-05-24,0.0,51.7,66.9,0.12,57.6,409.0,4.6,0.11,0.4815526341494719,0.05297078975644191,5.94919762117734,-0.05297078975644191,6.370802378822662
143,2018-05-25,0.0,52.8,64.6,0.05,57.1,216.0,3.7,0.05,0.5008361485519767,0.025041807427598834,5.974239428604938,-0.025041807427598834,6.345760571395064
144,2018-05-26,0.0,46.6,69.8,0.14,59.2,471.0,2.4,0.13,0.5055128479264646,0.0657166702304404,6.039956098835378,-0.0657166702304404,6.280043901164624
145,2018-05-27,0.0,44.1,79.5,0.19,61.6,599.0,3.2,0.18,0.5101895473009526,0.09183411851417146,6.1317902173495495,-0.09183411851417146,6.1882097826504525
146,2018-05-28,0.0,48.3,89.0,0.22,66.3,600.0,3.5,0.21,0.5148662466754405,0.1081219118018425,6.239912129151392,-0.1081219118018425,6.08008787084861
147,2018-05-29,0.0,49.6,80.0,0.21,64.0,610.0,3.5,0.19,0.5195429460499283,0.09871315974948638,6.338625288900879,-0.09871315974948638,5.981374711099123
148,2018-05-30,0.0,45.2,69.4,0.18,56.7,550.0,5.5,0.16,0.5242196454244163,0.08387514326790661,6.4225004321687855,-0.08387514326790661,5.8974995678312165
149,2018-05-31,0.0,44.8,70.0,0.19,57.1,605.0,3.7,0.17,0.5288963447989042,0.08991237861581372,6.512412810784599,-0.08991237861581372,5.807587189215403
150,2018-06-01,0.0,40.4,81.3,0.19,60.3,605.0,1.9,0.18,0.5335730441733922,0.0960431479512106,6.608455958735809,-0.0960431479512106,5.711544041264193
151,2018-06-02,0.0,46.3,89.3,0.23,67.0,624.0,2.7,0.22,0.5382497435478801,0.11841494358053363,6.726870902316342,-0.11841494358053363,5.59312909768366
152,2018-06-03,0.0,51.6,83.9,0.19,65.9,596.0,1.8,0.18,0.5403732665316324,0.09726718797569384,6.8241380902920366,-0.09726718797569384,5.4958619097079655
153,2018-06-04,0.0,44.2,78.9,0.2,61.6,612.0,2.2,0.19,0.5424967895153848,0.10307439000792312,6.92721248029996,-0.10307439000792312,5.392787519700042
154,2018-06-05,0.0,39.5,73.6,0.18,58.2,612.0,1.6,0.17,0.5446203124991371,0.09258545312485332,7.019797933424813,-0.09258545312485332,5.300202066575189
